id,title,genre,movie_logo
18,12 Angry Men,"Crime, Drama",12_angry_men.jpg
19,12 Years a Slave,"Drama, History",12_years_a_slave.jpg
20,A Beautiful Mind,"Biography, Drama",A_Beautiful_Mind.jpg
21,Avatar,"Action, Adventure, Fantasy",Avatar.jpg
22,Avengers: Infinity War,"Action, Adventure, Sci-Fi",Avengers_Infinity_War.jpg
23,Avengers: Endgame,"Action, Adventure, Sci-Fi",Avengers-Endgame.jpg
24,Back to the Future,"Adventure, Comedy, Sci-Fi",Back_To_The_Future.jpg
25,Batman Begins,"Action, Adventure",Batman_Begins.jpg
26,Casino Royale,"Action, Thriller",casino_royale.jpg
27,Coco,"Animation, Adventure",Coco.jpg
28,The Dark Knight Rises,"Action, Adventure",Dark_Night_Rises.jpg
29,Die Hard,"Action, Thriller",Die_Hard.jpg
30,Django Unchained,Drama,Django_Unchained.jpg
31,Drive,"Crime, Drama",drive.jpg
32,Fight Club,Drama,fight_club.jpg
33,Forrest Gump,"Drama, Romance",Forrest_Gump.jpg
34,Frozen,"Animation, Comedy",frozen.jpg
35,Gladiator,"Action, Adventure, Drama",Gladiator.jpg
36,Gone Girl,"Mystery, Thriller",gone_girl.jpg
37,Good Will Hunting,"Drama, Romance",good_will_hunting.jpg
38,Gravity,"Sci-Fi, Thriller",gravity.jpg
39,Guardians of the Galaxy,"Action, Comedy",guardians_of_the_galaxy.jpg
40,Home Alone,Comedy,Home_Alone.jpg
41,Inception,"Adventure, Sci-Fi",Inception.jpg
42,Inside Out,"Animation, Comedy",Inside_Out.jpg
43,Interstellar,"Adventure, Sci-Fi",interstellar.jpg
44,Joker,"Crime, Drama, Thriller",joker.jpg
45,Memento,"Mystery, Thriller",memento.jpg
46,Oldboy,"Action, Drama",oldboy.jpg
47,Parasite,"Drama, Thriller",parasite.jpg
48,Pulp Fiction,"Crime, Drama",Pulp_Fiction.jpg
49,Schindler's List,"Biography, Drama",Schindlers_list.jpg
50,Shutter Island,"Mystery, Thriller",shutter_island.jpg
51,The Avengers,"Action, Sci-Fi",The_Avengers.jpg
52,The Lion King,"Animation, Comedy",The_Lion_king.jpg
53,The Pianist,"Biography, Drama",the_pianist.jpg
54,The Shawshank Redemption,Drama,The_Shawshank_Redemption.jpg
55,The Godfather,"Crime, Drama",The_Godfather_jyZtLj1.jpg
56,The Truman Show,"Comedy, Drama, Sci-Fi",The_Truman_Show.jpg
57,The Wolf of Wall Street,"Crime, Drama, Comedy",the_wolf_of_wall_street.jpg
58,Toy Story,"Animation, Comedy",Toy_Story.jpg
59,Up,"Animation, Comedy",Up.jpg
